Evento;Ano;Local;Casos;Populacao;Longitude;Latitude
FOF;2017;Angra dos Reis;0;2635;-44.35282;-22.98651
FOF;2017;Aperibé;0;146;-42.13467;-21.65229
FOF;2017;Araruama;2;1595;-42.29294;-22.75538
FOF;2017;Areal;0;181;-43.12154;-22.2354
FOF;2017;Armação dos Búzios;0;663;-41.94955;-22.77621
FOF;2017;Arraial do Cabo;1;462;-42.16001;-22.925
FOF;2017;Barra do Piraí;1;1080;-43.91296;-22.42566
FOF;2017;Barra Mansa;3;2116;-44.18831;-22.50578
FOF;2017;Belford Roxo;2;7100;-43.37757;-22.72873
FOF;2017;Bom Jardim;0;197;-42.37173;-22.19975
FOF;2017;Bom Jesus do Itabapoana;0;467;-41.6832;-21.12346
FOF;2017;Cabo Frio;1;2781;-42.05701;-22.71178
FOF;2017;Cachoeiras de Macacu;0;808;-42.72841;-22.51612
FOF;2017;Cambuci;0;151;-41.91465;-21.49692
FOF;2017;Carapebus;0;165;-41.6509;-22.19595
FOF;2017;Comendador Levy Gasparian;0;116;-43.25574;-22.04377
FOF;2017;Campos dos Goytacazes;4;7498;-41.40409;-21.74766
FOF;2017;Cantagalo;0;205;-42.33389;-21.86835
FOF;2017;Cardoso Moreira;0;125;-41.5003;-21.52545
FOF;2017;Carmo;0;221;-42.56641;-21.89542
FOF;2017;Casimiro de Abreu;0;679;-42.14424;-22.48186
FOF;2017;Conceição de Macabu;0;272;-41.84658;-22.13661
FOF;2017;Cordeiro;0;277;-42.34222;-22.0588
FOF;2017;Duas Barras;0;128;-42.49804;-22.05561
FOF;2017;Duque de Caxias;5;13593;-43.29961;-22.63249
FOF;2017;Engenheiro Paulo de Frontin;0;121;-43.6361;-22.50829
FOF;2017;Guapimirim;1;740;-42.96402;-22.5835
FOF;2017;Iguaba Grande;0;361;-42.21801;-22.82748
FOF;2017;Itaboraí;0;3139;-42.85436;-22.75002
FOF;2017;Itaguaí;1;1892;-43.81232;-22.83467
FOF;2017;Italva;0;156;-41.65383;-21.42391
FOF;2017;Itaocara;0;277;-42.08224;-21.72689
FOF;2017;Itaperuna;0;1177;-41.89402;-21.2251
FOF;2017;Itatiaia;0;433;-44.58784;-22.44166
FOF;2017;Japeri;0;1419;-43.60576;-22.66192
FOF;2017;Laje do Muriaé;0;60;-42.13512;-21.2501
FOF;2017;Macaé;1;3928;-41.97665;-22.29581
FOF;2017;Macuco;0;113;-42.27353;-22.024
FOF;2017;Magé;1;3698;-43.11302;-22.61262
FOF;2017;Mangaratiba;0;555;-44.03808;-22.95423
FOF;2017;Maricá;1;1878;-42.81698;-22.91532
FOF;2017;Mendes;1;202;-43.73976;-22.52153
FOF;2017;Mesquita;2;2402;-43.45232;-22.79931
FOF;2017;Miguel Pereira;0;321;-43.46924;-22.50649
FOF;2017;Miracema;0;354;-42.1522;-21.39558
FOF;2017;Natividade;0;179;-41.93126;-21.04165
FOF;2017;Nilópolis;1;1834;-43.42895;-22.82107
FOF;2017;Niterói;4;6336;-43.05534;-22.91499
FOF;2017;Nova Friburgo;2;2124;-42.50103;-22.31912
FOF;2017;Nova Iguaçu;3;12498;-43.50184;-22.68676
FOF;2017;Paracambi;1;531;-43.72152;-22.6179
FOF;2017;Paraíba do Sul;1;558;-43.30433;-22.18196
FOF;2017;Paraty;1;624;-44.70624;-23.14831
FOF;2017;Paty do Alferes;0;408;-43.40397;-22.36702
FOF;2017;Petrópolis;1;3918;-43.15683;-22.39796
FOF;2017;Pinheiral;0;324;-43.99755;-22.54333
FOF;2017;Piraí;1;392;-43.90171;-22.63359
FOF;2017;Porciúncula;0;214;-41.96958;-20.90656
FOF;2017;Porto Real;3;266;-44.32604;-22.44112
FOF;2017;Quatis;0;170;-44.2371;-22.35515
FOF;2017;Queimados;2;2412;-43.58492;-22.72542
FOF;2017;Quissamã;0;318;-41.4444;-22.1048
FOF;2017;Resende;0;1759;-44.48526;-22.44064
FOF;2017;Rio Bonito;1;719;-42.58807;-22.73502
FOF;2017;Rio Claro;0;188;-44.07838;-22.78048
FOF;2017;Rio das Flores;0;101;-43.53866;-22.15989
FOF;2017;Rio das Ostras;1;2044;-41.94648;-22.45424
FOF;2017;Rio de Janeiro;48;84521;-43.45099;-22.92319
FOF;2017;Santa Maria Madalena;0;99;-41.91348;-21.96963
FOF;2017;Santo Antônio de Pádua;0;508;-42.19288;-21.55562
FOF;2017;São Francisco de Itabapoana;1;634;-41.13517;-21.41761
FOF;2017;São Fidélis;0;389;-41.78698;-21.6599
FOF;2017;São Gonçalo;2;11290;-42.99701;-22.82562
FOF;2017;São João da Barra;0;514;-41.0808;-21.78219
FOF;2017;São João de Meriti;1;6545;-43.3653;-22.78515
FOF;2017;São José de Ubá;0;106;-41.94926;-21.37082
FOF;2017;São José do Vale do Rio Preto;0;274;-42.93252;-22.16973
FOF;2017;São Pedro da Aldeia;1;1650;-42.12607;-22.78836
FOF;2017;São Sebastião do Alto;0;95;-42.10224;-21.88336
FOF;2017;Sapucaia;0;192;-42.82282;-22.02412
FOF;2017;Saquarema;2;1207;-42.51884;-22.87815
FOF;2017;Seropédica;0;1066;-43.69857;-22.75554
FOF;2017;Silva Jardim;0;286;-42.41335;-22.56758
FOF;2017;Sumidouro;0;228;-42.6642;-22.10708
FOF;2017;Tanguá;0;461;-42.72545;-22.78219
FOF;2017;Teresópolis;0;2300;-42.87338;-22.31407
FOF;2017;Trajano de Moraes;0;114;-42.15496;-22.12975
FOF;2017;Três Rios;0;1194;-43.11215;-22.12473
FOF;2017;Valença;0;822;-43.85753;-22.23422
FOF;2017;Varre-Sai;0;156;-41.82971;-20.89293
FOF;2017;Vassouras;0;489;-43.56973;-22.35856
FOF;2017;Volta Redonda;2;3272;-44.08893;-22.49092
